  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:00 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    4 ?        S      0:00 [kworker/0:0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:00 [rcu_sched]
    8 ?        S      0:00 [rcuos/0]
    9 ?        S      0:00 [rcuos/1]
   10 ?        S      0:00 [rcuos/2]
   11 ?        S      0:00 [rcuos/3]
   12 ?        S      0:00 [rcuos/4]
   13 ?        S      0:00 [rcuos/5]
   14 ?        S      0:00 [rcuos/6]
   15 ?        S      0:00 [rcuos/7]
   16 ?        S      0:00 [rcu_bh]
   17 ?        S      0:00 [rcuob/0]
   18 ?        S      0:00 [rcuob/1]
   19 ?        S      0:00 [rcuob/2]
   20 ?        S      0:00 [rcuob/3]
   21 ?        S      0:00 [rcuob/4]
   22 ?        S      0:00 [rcuob/5]
   23 ?        S      0:00 [rcuob/6]
   24 ?        S      0:00 [rcuob/7]
   25 ?        S      0:00 [migration/0]
   26 ?        S      0:00 [watchdog/0]
   27 ?        S      0:00 [watchdog/1]
   28 ?        S      0:00 [migration/1]
   29 ?        S      0:00 [ksoftirqd/1]
   31 ?        S<     0:00 [kworker/1:0H]
   32 ?        S      0:00 [watchdog/2]
   33 ?        S      0:00 [migration/2]
   34 ?        S      0:00 [ksoftirqd/2]
   35 ?        S      0:00 [kworker/2:0]
   36 ?        S<     0:00 [kworker/2:0H]
   37 ?        S      0:00 [watchdog/3]
   38 ?        S      0:00 [migration/3]
   39 ?        S      0:00 [ksoftirqd/3]
   40 ?        S      0:00 [kworker/3:0]
   41 ?        S<     0:00 [kworker/3:0H]
   42 ?        S      0:00 [watchdog/4]
   43 ?        S      0:00 [migration/4]
   44 ?        S      0:00 [ksoftirqd/4]
   45 ?        S      0:00 [kworker/4:0]
   46 ?        S<     0:00 [kworker/4:0H]
   47 ?        S      0:00 [watchdog/5]
   48 ?        S      0:00 [migration/5]
   49 ?        S      0:00 [ksoftirqd/5]
   50 ?        S      0:00 [kworker/5:0]
   51 ?        S<     0:00 [kworker/5:0H]
   52 ?        S      0:00 [watchdog/6]
   53 ?        S      0:00 [migration/6]
   54 ?        S      0:00 [ksoftirqd/6]
   55 ?        S      0:00 [kworker/6:0]
   56 ?        S<     0:00 [kworker/6:0H]
   57 ?        S      0:00 [watchdog/7]
   58 ?        S      0:00 [migration/7]
   59 ?        S      0:00 [ksoftirqd/7]
   61 ?        S<     0:00 [kworker/7:0H]
   62 ?        S<     0:00 [khelper]
   63 ?        S      0:00 [kdevtmpfs]
   64 ?        S<     0:00 [netns]
   65 ?        S      0:00 [khungtaskd]
   66 ?        S<     0:00 [writeback]
   67 ?        SN     0:00 [ksmd]
   68 ?        SN     0:00 [khugepaged]
   69 ?        S<     0:00 [crypto]
   70 ?        S<     0:00 [kintegrityd]
   71 ?        S<     0:00 [bioset]
   72 ?        S<     0:00 [kblockd]
   73 ?        S<     0:00 [ata_sff]
   74 ?        S      0:00 [khubd]
   75 ?        S<     0:00 [md]
   76 ?        S<     0:00 [devfreq_wq]
   78 ?        S      0:00 [kworker/2:1]
   80 ?        S      0:00 [kswapd0]
   81 ?        S      0:00 [fsnotify_mark]
   82 ?        S      0:00 [ecryptfs-kthrea]
   94 ?        S<     0:00 [kthrotld]
   95 ?        S<     0:00 [acpi_thermal_pm]
   96 ?        S      0:00 [kworker/6:1]
   99 ?        S      0:00 [kworker/5:1]
  100 ?        S<     0:00 [ipv6_addrconf]
  101 ?        S      0:00 [kworker/1:1]
  120 ?        S<     0:00 [deferwq]
  121 ?        S<     0:00 [charger_manager]
  180 ?        S<     0:00 [kpsmoused]
  181 ?        S      0:00 [kworker/0:2]
  182 ?        S      0:00 [scsi_eh_0]
  183 ?        S<     0:00 [scsi_tmf_0]
  184 ?        S      0:00 [scsi_eh_1]
  185 ?        S<     0:00 [scsi_tmf_1]
  186 ?        S      0:00 [scsi_eh_2]
  187 ?        S<     0:00 [scsi_tmf_2]
  188 ?        S      0:00 [scsi_eh_3]
  189 ?        S<     0:00 [scsi_tmf_3]
  190 ?        S      0:00 [scsi_eh_4]
  191 ?        S<     0:00 [scsi_tmf_4]
  192 ?        S      0:00 [scsi_eh_5]
  193 ?        S<     0:00 [scsi_tmf_5]
  210 ?        S      0:00 [jbd2/sda2-8]
  211 ?        S<     0:00 [ext4-rsv-conver]
  225 ?        S      0:00 [kworker/3:1]
  245 ?        S      0:00 [kworker/4:1]
  247 ?        S      0:00 [kworker/7:1]
  354 ?        S      0:00 upstart-udev-bridge --daemon
  359 ?        Ss     0:00 /lib/systemd/systemd-udevd --daemon
  431 ?        S      0:00 [irq/42-mei_me]
  432 ?        S<     0:00 [kworker/3:1H]
  443 ?        S<     0:00 [kworker/6:1H]
  452 ?        S<     0:00 [kvm-irqfd-clean]
  454 ?        S<     0:00 [kworker/4:1H]
  552 ?        S<     0:00 [hd-audio0]
  556 ?        S      0:00 upstart-socket-bridge --daemon
  639 ?        S<     0:00 [kworker/0:1H]
  678 ?        S<     0:00 [kworker/5:1H]
  716 ?        Ss     0:00 dbus-daemon --system --fork
  727 ?        S      0:00 upstart-file-bridge --daemon
  740 ?        Ssl    0:00 /usr/sbin/ModemManager
  741 ?        Ss     0:00 /usr/sbin/bluetoothd
  753 ?        S<     0:00 [krfcommd]
  766 ?        Ssl    0:00 rsyslogd
  783 ?        S      0:00 avahi-daemon: running [user14-Veriton-X4620G.local]
  788 ?        S      0:00 avahi-daemon: chroot helper
  795 ?        Ss     0:00 /lib/systemd/systemd-logind
  848 ?        Ssl    0:00 NetworkManager
  854 ?        Sl     0:00 /usr/lib/policykit-1/polkitd --no-debug
  961 tty4     Ss+    0:00 /sbin/getty -8 38400 tty4
  965 tty5     Ss+    0:00 /sbin/getty -8 38400 tty5
  971 tty2     Ss+    0:00 /sbin/getty -8 38400 tty2
  972 tty3     Ss+    0:00 /sbin/getty -8 38400 tty3
  975 tty6     Ss+    0:00 /sbin/getty -8 38400 tty6
 1022 ?        Ss     0:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
 1024 ?        Ss     0:00 /usr/sbin/irqbalance
 1029 ?        Ss     0:00 /usr/sbin/kerneloops
 1036 ?        Ss     0:00 /usr/sbin/cups-browsed
 1080 ?        Ss     0:00 cron
 1092 ?        S<     0:00 [iprt]
 1161 tty1     Ss+    0:00 /sbin/getty -8 38400 tty1
 1166 ?        Ssl    0:00 whoopsie
 1181 ?        SLsl   0:00 lightdm
 1195 ?        Sl     0:00 /usr/lib/accountsservice/accounts-daemon
 1222 ?        S      0:00 [kauditd]
 1264 ?        S<     0:00 [kworker/2:1H]
 1265 ?        S<     0:00 [kworker/1:1H]
 1307 ?        Sl     0:00 /usr/lib/upower/upowerd
 1402 ?        SNl    0:00 /usr/lib/rtkit/rtkit-daemon
